Pos   Par        Frecuencia
------------------------------
1     10         77        
2     57         75        
3     15         75        
4     50         73        
5     64         72        
6     53         71        
7     45         68        
8     41         67        
9     43         67        
10    34         67        
11    92         67        
12    33         66        
13    16         66        
14    99         65        
15    38         64        
16    79         64        
17    63         63        
18    82         63        
19    19         63        
20    22         62        
21    28         62        
22    42         61        
23    14         61        
24    90         61        
25    31         61        
26    80         61        
27    62         60        
28    21         60        
29    44         59        
30    56         59        
31    61         59        
32    23         58        
33    9          58        
34    72         58        
35    78         58        
36    37         58        
37    8          58        
38    40         58        
39    51         58        
40    0          58        
41    88         57        
42    67         57        
43    5          57        
44    87         57        
45    36         57        
46    25         57        
47    75         57        
48    68         56        
49    39         56        
50    17         56        
51    46         56        
52    89         56        
53    52         55        
54    96         55        
55    86         55        
56    2          55        
57    32         55        
58    12         55        
59    95         54        
60    55         54        
61    83         54        
62    98         54        
63    97         54        
64    11         54        
65    13         54        
66    20         54        
67    91         54        
68    30         53        
69    69         53        
70    71         53        
71    1          53        
72    73         53        
73    35         53        
74    84         53        
75    7          53        
76    26         52        
77    6          52        
78    85         52        
79    24         51        
80    65         51        
81    81         51        
82    4          51        
83    18         51        
84    70         50        
85    74         50        
86    48         50        
87    27         50        
88    60         50        
89    47         50        
90    58         49        
91    76         49        
92    49         48        
93    3          46        
94    77         46        
95    94         46        
96    93         44        
97    66         44        
98    54         42        
99    29         40        
100   59         40        
